,open,high,low,close,volume
20231123 05:55:00 Australia/Sydney,455.31,455.46,455.31,455.46,546.7
20231123 05:56:00 Australia/Sydney,455.46,455.47,455.4,455.42,666.27
20231123 05:57:00 Australia/Sydney,455.42,455.48,455.42,455.43,340.67
20231123 05:58:00 Australia/Sydney,455.43,455.46,455.39,455.39,373.3
20231123 05:59:00 Australia/Sydney,455.4,455.45,455.22,455.32,1363.5
20231123 06:00:00 Australia/Sydney,455.31,455.46,455.3,455.44,1236.54
20231123 06:01:00 Australia/Sydney,455.44,455.56,455.43,455.52,666.24
20231123 06:02:00 Australia/Sydney,455.51,455.55,455.49,455.53,743.79
20231123 06:03:00 Australia/Sydney,455.53,455.54,455.41,455.42,459.18
20231123 06:04:00 Australia/Sydney,455.42,455.47,455.41,455.43,743.34
20231123 06:05:00 Australia/Sydney,455.42,455.54,455.41,455.52,947.54
20231123 06:06:00 Australia/Sydney,455.51,455.58,455.48,455.55,1563.85
20231123 06:07:00 Australia/Sydney,455.55,455.61,455.54,455.59,768.5
20231123 06:08:00 Australia/Sydney,455.6,455.6,455.53,455.56,428.59
20231123 06:09:00 Australia/Sydney,455.57,455.6,455.5,455.58,670.48
20231123 06:10:00 Australia/Sydney,455.59,455.62,455.53,455.54,778.09
20231123 06:11:00 Australia/Sydney,455.54,455.56,455.48,455.5,411.2
20231123 06:12:00 Australia/Sydney,455.51,455.51,455.36,455.41,1761.33
20231123 06:13:00 Australia/Sydney,455.42,455.44,455.36,455.38,429.43
20231123 06:14:00 Australia/Sydney,455.36,455.38,455.27,455.32,708.93
20231123 06:15:00 Australia/Sydney,455.31,455.35,455.23,455.33,937.3
20231123 06:16:00 Australia/Sydney,455.34,455.48,455.33,455.38,1255.57
20231123 06:17:00 Australia/Sydney,455.39,455.44,455.35,455.44,478.04
20231123 06:18:00 Australia/Sydney,455.44,455.54,455.42,455.5,725.6
20231123 06:19:00 Australia/Sydney,455.5,455.54,455.47,455.5,351.86
20231123 06:20:00 Australia/Sydney,455.49,455.51,455.39,455.43,584.92
20231123 06:21:00 Australia/Sydney,455.44,455.49,455.4,455.45,494.54
20231123 06:22:00 Australia/Sydney,455.44,455.45,455.36,455.37,498.26
20231123 06:23:00 Australia/Sydney,455.36,455.43,455.35,455.39,554.59
20231123 06:24:00 Australia/Sydney,455.39,455.4,455.3,455.32,493.51
20231123 06:25:00 Australia/Sydney,455.33,455.48,455.32,455.45,595.49
20231123 06:26:00 Australia/Sydney,455.44,455.5,455.42,455.48,515.72
20231123 06:27:00 Australia/Sydney,455.49,455.49,455.44,455.45,528.48
20231123 06:28:00 Australia/Sydney,455.46,455.47,455.4,455.43,569.05
20231123 06:29:00 Australia/Sydney,455.43,455.5,455.39,455.48,404.71
20231123 06:30:00 Australia/Sydney,455.47,455.5,455.3,455.31,574.91
20231123 06:31:00 Australia/Sydney,455.31,455.37,455.3,455.31,693.38
20231123 06:32:00 Australia/Sydney,455.33,455.35,455.26,455.34,812.83
20231123 06:33:00 Australia/Sydney,455.33,455.33,454.97,455.02,2141.75
20231123 06:34:00 Australia/Sydney,455.03,455.04,454.95,454.99,1090.08
20231123 06:35:00 Australia/Sydney,454.99,455.1,454.96,455.1,735.04
20231123 06:36:00 Australia/Sydney,455.08,455.08,454.87,454.91,1302.16
20231123 06:37:00 Australia/Sydney,454.92,454.92,454.36,454.43,2738.59
20231123 06:38:00 Australia/Sydney,454.44,454.45,454.2,454.26,2563.48
20231123 06:39:00 Australia/Sydney,454.26,454.27,454.07,454.11,1858.43
20231123 06:40:00 Australia/Sydney,454.11,454.29,453.92,454.23,2569.58
20231123 06:41:00 Australia/Sydney,454.23,454.29,454.08,454.22,1988.72
20231123 06:42:00 Australia/Sydney,454.23,454.47,454.23,454.42,2514.19
20231123 06:43:00 Australia/Sydney,454.42,454.51,454.37,454.5,2062.88
20231123 06:44:00 Australia/Sydney,454.49,454.53,454.41,454.53,973.43
20231123 06:45:00 Australia/Sydney,454.53,454.54,454.37,454.39,1082.24
20231123 06:46:00 Australia/Sydney,454.38,454.49,454.29,454.42,1006.54
20231123 06:47:00 Australia/Sydney,454.42,454.47,454.36,454.46,521.07
20231123 06:48:00 Australia/Sydney,454.46,454.48,454.3,454.32,653.22
20231123 06:49:00 Australia/Sydney,454.33,454.43,454.32,454.42,662.95
20231123 06:50:00 Australia/Sydney,454.43,454.61,454.41,454.61,1939.43
20231123 06:51:00 Australia/Sydney,454.61,454.77,454.59,454.71,1680.94
20231123 06:52:00 Australia/Sydney,454.72,454.72,454.63,454.7,1089.64
20231123 06:53:00 Australia/Sydney,454.7,454.77,454.65,454.69,1241.89
20231123 06:54:00 Australia/Sydney,454.69,454.77,454.66,454.73,1081.29
20231123 06:55:00 Australia/Sydney,454.72,454.86,454.71,454.85,1477.93
20231123 06:56:00 Australia/Sydney,454.84,455.03,454.84,454.99,1032.32
20231123 06:57:00 Australia/Sydney,454.98,455.0,454.7,454.78,2550.87
20231123 06:58:00 Australia/Sydney,454.77,454.92,454.77,454.89,1673.43
20231123 06:59:00 Australia/Sydney,454.88,454.91,454.82,454.84,582.37
20231123 07:00:00 Australia/Sydney,454.84,454.88,454.71,454.79,791.17
20231123 07:01:00 Australia/Sydney,454.78,454.9,454.78,454.82,470.09
20231123 07:02:00 Australia/Sydney,454.81,455.0,454.76,454.96,1953.59
20231123 07:03:00 Australia/Sydney,454.96,454.99,454.87,454.93,1664.05
20231123 07:04:00 Australia/Sydney,454.93,455.02,454.88,455.01,622.91
20231123 07:05:00 Australia/Sydney,455.02,455.03,454.95,454.99,557.91
20231123 07:06:00 Australia/Sydney,455.0,455.03,454.95,455.02,805.51
20231123 07:07:00 Australia/Sydney,455.01,455.02,454.94,454.98,559.1
20231123 07:08:00 Australia/Sydney,454.98,455.02,454.92,455.02,923.8
20231123 07:09:00 Australia/Sydney,455.02,455.09,454.67,454.94,2627.1
20231123 07:10:00 Australia/Sydney,454.94,454.96,454.82,454.84,982.12
20231123 07:11:00 Australia/Sydney,454.84,455.0,454.83,454.94,1011.65
20231123 07:12:00 Australia/Sydney,454.94,454.95,454.86,454.91,808.56
20231123 07:13:00 Australia/Sydney,454.9,454.95,454.84,454.95,466.24
20231123 07:14:00 Australia/Sydney,454.95,454.98,454.9,454.98,725.27
20231123 07:15:00 Australia/Sydney,454.97,455.07,454.97,455.05,1184.83
20231123 07:16:00 Australia/Sydney,455.06,455.12,455.04,455.08,702.44
20231123 07:17:00 Australia/Sydney,455.07,455.09,455.02,455.07,574.58
20231123 07:18:00 Australia/Sydney,455.06,455.07,455.0,455.01,609.05
20231123 07:19:00 Australia/Sydney,455.01,455.11,455.01,455.08,641.18
20231123 07:20:00 Australia/Sydney,455.07,455.1,455.0,455.07,824.5
20231123 07:21:00 Australia/Sydney,455.08,455.1,455.01,455.02,616.97
20231123 07:22:00 Australia/Sydney,455.02,455.09,454.99,454.99,717.76
